,Quarter,HB_x,HBT,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,HBName,Country
100,2014Q3,S08000015,S08000015,Cervical,6.0,6.0,NHS Ayrshire and Arran,S92000003
101,2014Q3,S08000015,S08000015,Colorectal,38.0,38.0,NHS Ayrshire and Arran,S92000003
102,2014Q3,S08000015,S08000015,Head & Neck,5.0,4.0,NHS Ayrshire and Arran,S92000003
103,2014Q3,S08000015,S08000015,Lung,45.0,45.0,NHS Ayrshire and Arran,S92000003
104,2014Q3,S08000015,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
105,2014Q3,S08000015,S08000015,Melanoma,7.0,7.0,NHS Ayrshire and Arran,S92000003
106,2014Q3,S08000015,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
107,2014Q3,S08000015,S08000015,Upper GI,23.0,23.0,NHS Ayrshire and Arran,S92000003
108,2014Q3,S08000015,S08000015,Urological,37.0,35.0,NHS Ayrshire and Arran,S92000003
109,2014Q4,S08000015,S08000015,Breast,71.0,68.0,NHS Ayrshire and Arran,S92000003
110,2014Q4,S08000015,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
111,2014Q4,S08000015,S08000015,Colorectal,28.0,27.0,NHS Ayrshire and Arran,S92000003
112,2014Q4,S08000015,S08000015,Head & Neck,5.0,4.0,NHS Ayrshire and Arran,S92000003
113,2014Q4,S08000015,S08000015,Lung,44.0,42.0,NHS Ayrshire and Arran,S92000003
114,2014Q4,S08000015,S08000015,Lymphoma,10.0,8.0,NHS Ayrshire and Arran,S92000003
115,2014Q4,S08000015,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
116,2014Q4,S08000015,S08000015,Ovarian,3.0,3.0,NHS Ayrshire and Arran,S92000003
117,2014Q4,S08000015,S08000015,Upper GI,29.0,28.0,NHS Ayrshire and Arran,S92000003
118,2014Q4,S08000015,S08000015,Urological,35.0,35.0,NHS Ayrshire and Arran,S92000003
119,2015Q1,S08000015,S08000015,Breast,87.0,85.0,NHS Ayrshire and Arran,S92000003
120,2015Q1,S08000015,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
121,2015Q1,S08000015,S08000015,Colorectal,29.0,29.0,NHS Ayrshire and Arran,S92000003
122,2015Q1,S08000015,S08000015,Head & Neck,4.0,3.0,NHS Ayrshire and Arran,S92000003
123,2015Q1,S08000015,S08000015,Lung,41.0,41.0,NHS Ayrshire and Arran,S92000003
124,2015Q1,S08000015,S08000015,Lymphoma,8.0,5.0,NHS Ayrshire and Arran,S92000003
125,2015Q1,S08000015,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
126,2015Q1,S08000015,S08000015,Ovarian,3.0,3.0,NHS Ayrshire and Arran,S92000003
127,2015Q1,S08000015,S08000015,Upper GI,26.0,25.0,NHS Ayrshire and Arran,S92000003
128,2015Q1,S08000015,S08000015,Urological,34.0,28.0,NHS Ayrshire and Arran,S92000003
129,2015Q2,S08000015,S08000015,Breast,80.0,78.0,NHS Ayrshire and Arran,S92000003
130,2015Q2,S08000015,S08000015,Cervical,3.0,2.0,NHS Ayrshire and Arran,S92000003
131,2015Q2,S08000015,S08000015,Colorectal,35.0,32.0,NHS Ayrshire and Arran,S92000003
132,2015Q2,S08000015,S08000015,Head & Neck,14.0,14.0,NHS Ayrshire and Arran,S92000003
133,2015Q2,S08000015,S08000015,Lung,40.0,40.0,NHS Ayrshire and Arran,S92000003
134,2015Q2,S08000015,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
135,2015Q2,S08000015,S08000015,Melanoma,8.0,8.0,NHS Ayrshire and Arran,S92000003
136,2015Q2,S08000015,S08000015,Ovarian,4.0,3.0,NHS Ayrshire and Arran,S92000003
137,2015Q2,S08000015,S08000015,Upper GI,16.0,16.0,NHS Ayrshire and Arran,S92000003
138,2015Q2,S08000015,S08000015,Urological,49.0,49.0,NHS Ayrshire and Arran,S92000003
139,2015Q3,S08000015,S08000015,Breast,60.0,59.0,NHS Ayrshire and Arran,S92000003
140,2015Q3,S08000015,S08000015,Colorectal,29.0,28.0,NHS Ayrshire and Arran,S92000003
141,2015Q3,S08000015,S08000015,Head & Neck,6.0,6.0,NHS Ayrshire and Arran,S92000003
142,2015Q3,S08000015,S08000015,Lung,35.0,35.0,NHS Ayrshire and Arran,S92000003
143,2015Q3,S08000015,S08000015,Lymphoma,7.0,6.0,NHS Ayrshire and Arran,S92000003
144,2015Q3,S08000015,S08000015,Melanoma,12.0,12.0,NHS Ayrshire and Arran,S92000003
145,2015Q3,S08000015,S08000015,Ovarian,4.0,4.0,NHS Ayrshire and Arran,S92000003
146,2015Q3,S08000015,S08000015,Upper GI,25.0,24.0,NHS Ayrshire and Arran,S92000003
147,2015Q3,S08000015,S08000015,Urological,25.0,22.0,NHS Ayrshire and Arran,S92000003
148,2015Q4,S08000015,S08000015,Breast,83.0,80.0,NHS Ayrshire and Arran,S92000003
149,2015Q4,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
150,2015Q4,S08000015,S08000015,Colorectal,36.0,35.0,NHS Ayrshire and Arran,S92000003
151,2015Q4,S08000015,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
152,2015Q4,S08000015,S08000015,Lung,23.0,23.0,NHS Ayrshire and Arran,S92000003
153,2015Q4,S08000015,S08000015,Lymphoma,6.0,5.0,NHS Ayrshire and Arran,S92000003
154,2015Q4,S08000015,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
155,2015Q4,S08000015,S08000015,Ovarian,6.0,5.0,NHS Ayrshire and Arran,S92000003
156,2015Q4,S08000015,S08000015,Upper GI,25.0,24.0,NHS Ayrshire and Arran,S92000003
157,2015Q4,S08000015,S08000015,Urological,35.0,32.0,NHS Ayrshire and Arran,S92000003
158,2016Q1,S08000015,S08000015,Breast,76.0,75.0,NHS Ayrshire and Arran,S92000003
159,2016Q1,S08000015,S08000015,Colorectal,30.0,27.0,NHS Ayrshire and Arran,S92000003
160,2016Q1,S08000015,S08000015,Head & Neck,3.0,3.0,NHS Ayrshire and Arran,S92000003
161,2016Q1,S08000015,S08000015,Lung,27.0,27.0,NHS Ayrshire and Arran,S92000003
162,2016Q1,S08000015,S08000015,Lymphoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
163,2016Q1,S08000015,S08000015,Melanoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
164,2016Q1,S08000015,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
165,2016Q1,S08000015,S08000015,Upper GI,25.0,23.0,NHS Ayrshire and Arran,S92000003
166,2016Q1,S08000015,S08000015,Urological,37.0,30.0,NHS Ayrshire and Arran,S92000003
167,2016Q2,S08000015,S08000015,Breast,57.0,55.0,NHS Ayrshire and Arran,S92000003
168,2016Q2,S08000015,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
169,2016Q2,S08000015,S08000015,Colorectal,44.0,39.0,NHS Ayrshire and Arran,S92000003
170,2016Q2,S08000015,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
171,2016Q2,S08000015,S08000015,Lung,30.0,29.0,NHS Ayrshire and Arran,S92000003
172,2016Q2,S08000015,S08000015,Lymphoma,7.0,6.0,NHS Ayrshire and Arran,S92000003
173,2016Q2,S08000015,S08000015,Melanoma,13.0,13.0,NHS Ayrshire and Arran,S92000003
174,2016Q2,S08000015,S08000015,Ovarian,2.0,1.0,NHS Ayrshire and Arran,S92000003
175,2016Q2,S08000015,S08000015,Upper GI,25.0,24.0,NHS Ayrshire and Arran,S92000003
176,2016Q2,S08000015,S08000015,Urological,32.0,28.0,NHS Ayrshire and Arran,S92000003
177,2016Q3,S08000015,S08000015,Breast,82.0,77.0,NHS Ayrshire and Arran,S92000003
178,2016Q3,S08000015,S08000015,Colorectal,32.0,31.0,NHS Ayrshire and Arran,S92000003
179,2016Q3,S08000015,S08000015,Head & Neck,6.0,4.0,NHS Ayrshire and Arran,S92000003
180,2016Q3,S08000015,S08000015,Lung,32.0,32.0,NHS Ayrshire and Arran,S92000003
181,2016Q3,S08000015,S08000015,Lymphoma,7.0,6.0,NHS Ayrshire and Arran,S92000003
182,2016Q3,S08000015,S08000015,Melanoma,12.0,12.0,NHS Ayrshire and Arran,S92000003
183,2016Q3,S08000015,S08000015,Ovarian,2.0,2.0,NHS Ayrshire and Arran,S92000003
184,2016Q3,S08000015,S08000015,Upper GI,25.0,24.0,NHS Ayrshire and Arran,S92000003
185,2016Q3,S08000015,S08000015,Urological,30.0,30.0,NHS Ayrshire and Arran,S92000003
186,2016Q4,S08000015,S08000015,Breast,100.0,94.0,NHS Ayrshire and Arran,S92000003
187,2016Q4,S08000015,S08000015,Cervical,1.0,1.0,NHS Ayrshire and Arran,S92000003
188,2016Q4,S08000015,S08000015,Colorectal,32.0,31.0,NHS Ayrshire and Arran,S92000003
189,2016Q4,S08000015,S08000015,Head & Neck,8.0,8.0,NHS Ayrshire and Arran,S92000003
190,2016Q4,S08000015,S08000015,Lung,23.0,23.0,NHS Ayrshire and Arran,S92000003
191,2016Q4,S08000015,S08000015,Lymphoma,4.0,4.0,NHS Ayrshire and Arran,S92000003
192,2016Q4,S08000015,S08000015,Melanoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
193,2016Q4,S08000015,S08000015,Ovarian,3.0,3.0,NHS Ayrshire and Arran,S92000003
194,2016Q4,S08000015,S08000015,Upper GI,27.0,25.0,NHS Ayrshire and Arran,S92000003
195,2016Q4,S08000015,S08000015,Urological,34.0,32.0,NHS Ayrshire and Arran,S92000003
196,2017Q1,S08000015,S08000015,Breast,89.0,85.0,NHS Ayrshire and Arran,S92000003
197,2017Q1,S08000015,S08000015,Colorectal,37.0,36.0,NHS Ayrshire and Arran,S92000003
198,2017Q1,S08000015,S08000015,Head & Neck,6.0,4.0,NHS Ayrshire and Arran,S92000003
199,2017Q1,S08000015,S08000015,Lung,28.0,28.0,NHS Ayrshire and Arran,S92000003
200,2017Q1,S08000015,S08000015,Melanoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
201,2017Q1,S08000015,S08000015,Upper GI,19.0,19.0,NHS Ayrshire and Arran,S92000003
202,2017Q1,S08000015,S08000015,Urological,30.0,28.0,NHS Ayrshire and Arran,S92000003
203,2017Q2,S08000015,S08000015,Breast,101.0,99.0,NHS Ayrshire and Arran,S92000003
204,2017Q2,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
205,2017Q2,S08000015,S08000015,Colorectal,34.0,30.0,NHS Ayrshire and Arran,S92000003
206,2017Q2,S08000015,S08000015,Head & Neck,5.0,4.0,NHS Ayrshire and Arran,S92000003
207,2017Q2,S08000015,S08000015,Lung,34.0,34.0,NHS Ayrshire and Arran,S92000003
208,2017Q2,S08000015,S08000015,Lymphoma,5.0,3.0,NHS Ayrshire and Arran,S92000003
209,2017Q2,S08000015,S08000015,Melanoma,7.0,7.0,NHS Ayrshire and Arran,S92000003
210,2017Q2,S08000015,S08000015,Upper GI,18.0,18.0,NHS Ayrshire and Arran,S92000003
211,2017Q2,S08000015,S08000015,Urological,32.0,29.0,NHS Ayrshire and Arran,S92000003
212,2017Q3,S08000015,S08000015,Breast,95.0,94.0,NHS Ayrshire and Arran,S92000003
213,2017Q3,S08000015,S08000015,Colorectal,45.0,37.0,NHS Ayrshire and Arran,S92000003
214,2017Q3,S08000015,S08000015,Head & Neck,10.0,7.0,NHS Ayrshire and Arran,S92000003
215,2017Q3,S08000015,S08000015,Lung,38.0,35.0,NHS Ayrshire and Arran,S92000003
216,2017Q3,S08000015,S08000015,Lymphoma,2.0,2.0,NHS Ayrshire and Arran,S92000003
217,2017Q3,S08000015,S08000015,Melanoma,9.0,9.0,NHS Ayrshire and Arran,S92000003
218,2017Q3,S08000015,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
219,2017Q3,S08000015,S08000015,Upper GI,21.0,20.0,NHS Ayrshire and Arran,S92000003
220,2017Q3,S08000015,S08000015,Urological,35.0,33.0,NHS Ayrshire and Arran,S92000003
221,2017Q4,S08000015,S08000015,Breast,87.0,87.0,NHS Ayrshire and Arran,S92000003
222,2017Q4,S08000015,S08000015,Colorectal,45.0,44.0,NHS Ayrshire and Arran,S92000003
223,2017Q4,S08000015,S08000015,Head & Neck,9.0,8.0,NHS Ayrshire and Arran,S92000003
224,2017Q4,S08000015,S08000015,Lung,23.0,22.0,NHS Ayrshire and Arran,S92000003
225,2017Q4,S08000015,S08000015,Lymphoma,5.0,3.0,NHS Ayrshire and Arran,S92000003
226,2017Q4,S08000015,S08000015,Melanoma,6.0,6.0,NHS Ayrshire and Arran,S92000003
227,2017Q4,S08000015,S08000015,Ovarian,4.0,2.0,NHS Ayrshire and Arran,S92000003
228,2017Q4,S08000015,S08000015,Upper GI,26.0,25.0,NHS Ayrshire and Arran,S92000003
229,2017Q4,S08000015,S08000015,Urological,45.0,44.0,NHS Ayrshire and Arran,S92000003
230,2018Q1,S08000015,S08000015,Breast,75.0,74.0,NHS Ayrshire and Arran,S92000003
231,2018Q1,S08000015,S08000015,Cervical,4.0,4.0,NHS Ayrshire and Arran,S92000003
232,2018Q1,S08000015,S08000015,Colorectal,41.0,35.0,NHS Ayrshire and Arran,S92000003
233,2018Q1,S08000015,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
234,2018Q1,S08000015,S08000015,Lung,23.0,22.0,NHS Ayrshire and Arran,S92000003
235,2018Q1,S08000015,S08000015,Melanoma,12.0,9.0,NHS Ayrshire and Arran,S92000003
236,2018Q1,S08000015,S08000015,Ovarian,4.0,4.0,NHS Ayrshire and Arran,S92000003
237,2018Q1,S08000015,S08000015,Upper GI,21.0,18.0,NHS Ayrshire and Arran,S92000003
238,2018Q1,S08000015,S08000015,Urological,32.0,29.0,NHS Ayrshire and Arran,S92000003
239,2018Q2,S08000015,S08000015,Breast,65.0,60.0,NHS Ayrshire and Arran,S92000003
240,2018Q2,S08000015,S08000015,Colorectal,32.0,27.0,NHS Ayrshire and Arran,S92000003
241,2018Q2,S08000015,S08000015,Head & Neck,8.0,8.0,NHS Ayrshire and Arran,S92000003
242,2018Q2,S08000015,S08000015,Lung,30.0,29.0,NHS Ayrshire and Arran,S92000003
243,2018Q2,S08000015,S08000015,Lymphoma,5.0,5.0,NHS Ayrshire and Arran,S92000003
244,2018Q2,S08000015,S08000015,Melanoma,8.0,8.0,NHS Ayrshire and Arran,S92000003
245,2018Q2,S08000015,S08000015,Ovarian,5.0,5.0,NHS Ayrshire and Arran,S92000003
246,2018Q2,S08000015,S08000015,Upper GI,20.0,17.0,NHS Ayrshire and Arran,S92000003
247,2018Q2,S08000015,S08000015,Urological,47.0,42.0,NHS Ayrshire and Arran,S92000003
248,2018Q3,S08000015,S08000015,Breast,82.0,77.0,NHS Ayrshire and Arran,S92000003
249,2018Q3,S08000015,S08000015,Cervical,5.0,4.0,NHS Ayrshire and Arran,S92000003
250,2018Q3,S08000015,S08000015,Colorectal,38.0,26.0,NHS Ayrshire and Arran,S92000003
251,2018Q3,S08000015,S08000015,Head & Neck,4.0,3.0,NHS Ayrshire and Arran,S92000003
252,2018Q3,S08000015,S08000015,Lung,36.0,36.0,NHS Ayrshire and Arran,S92000003
253,2018Q3,S08000015,S08000015,Lymphoma,1.0,1.0,NHS Ayrshire and Arran,S92000003
254,2018Q3,S08000015,S08000015,Melanoma,10.0,8.0,NHS Ayrshire and Arran,S92000003
255,2018Q3,S08000015,S08000015,Ovarian,1.0,1.0,NHS Ayrshire and Arran,S92000003
256,2018Q3,S08000015,S08000015,Upper GI,21.0,16.0,NHS Ayrshire and Arran,S92000003
257,2018Q3,S08000015,S08000015,Urological,39.0,38.0,NHS Ayrshire and Arran,S92000003
258,2018Q3,S08000017,S08000015,Urological,1.0,1.0,NHS Ayrshire and Arran,S92000003
259,2018Q4,S08000015,S08000015,Breast,91.0,86.0,NHS Ayrshire and Arran,S92000003
260,2018Q4,S08000015,S08000015,Cervical,3.0,3.0,NHS Ayrshire and Arran,S92000003
261,2018Q4,S08000015,S08000015,Colorectal,52.0,32.0,NHS Ayrshire and Arran,S92000003
262,2018Q4,S08000015,S08000015,Head & Neck,13.0,11.0,NHS Ayrshire and Arran,S92000003
263,2018Q4,S08000015,S08000015,Lung,43.0,41.0,NHS Ayrshire and Arran,S92000003
264,2018Q4,S08000015,S08000015,Lymphoma,1.0,1.0,NHS Ayrshire and Arran,S92000003
265,2018Q4,S08000015,S08000015,Melanoma,9.0,8.0,NHS Ayrshire and Arran,S92000003
266,2018Q4,S08000015,S08000015,Upper GI,27.0,24.0,NHS Ayrshire and Arran,S92000003
267,2018Q4,S08000015,S08000015,Urological,32.0,29.0,NHS Ayrshire and Arran,S92000003
268,2019Q1,S08000015,S08000015,Breast,76.0,58.0,NHS Ayrshire and Arran,S92000003
269,2019Q1,S08000015,S08000015,Cervical,2.0,2.0,NHS Ayrshire and Arran,S92000003
270,2019Q1,S08000015,S08000015,Colorectal,33.0,20.0,NHS Ayrshire and Arran,S92000003
271,2019Q1,S08000015,S08000015,Head & Neck,5.0,5.0,NHS Ayrshire and Arran,S92000003
272,2019Q1,S08000015,S08000015,Lung,40.0,40.0,NHS Ayrshire and Arran,S92000003
273,2019Q1,S08000015,S08000015,Lymphoma,3.0,3.0,NHS Ayrshire and Arran,S92000003
